,id,original,story_main_num,story_sub_num,koma,who,inner,speaker,what,wakati,emotion,kakimoji,self_anotated,alter_emotion,wakati_sp
0,0,True,0,0,0,B,False,B,Aくんっていつもクールね,A くん って いつも クール ね,ニュートラル,False,False,,a くん って いつも クール ね
1,0,False,0,0,0,B,False,B,Aくんって年がら年百クールね,A くん って 年がら年百 クール ね,ニュートラル,False,False,,a くん って 年 が ら 年 百 クール ね
2,0,False,0,0,0,B,False,B,Aくんって間断なくクールね,A くん って 間断なく クール ね,ニュートラル,False,False,,a くん って 間 断 なく クール ね
3,0,False,0,0,0,B,False,B,Aくんって常常クールね,A くん って 常常 クール ね,ニュートラル,False,False,,a くん って 常 常 クール ね
4,0,False,0,0,0,B,False,B,Aくんって毎毎クールね,A くん って 毎毎 クール ね,ニュートラル,False,False,,a くん って 毎 毎 クール ね
5,0,False,0,0,0,B,False,B,Aくんってつねにクールね,A くん って つねに クール ね,ニュートラル,False,False,,a くん って つ ね に クール ね
6,0,False,0,0,0,B,False,B,Aくんって年がら年じゅうクールね,A くん って 年がら年じゅう クール ね,ニュートラル,False,False,,a くん って 年 が ら 年 じゅう クール ね
7,0,False,0,0,0,B,False,B,Aくんって必ずクールね,A くん って 必ず クール ね,ニュートラル,False,False,,a くん って 必ず クール ね
8,0,False,0,0,0,B,False,B,Aくんって朝夕クールね,A くん って 朝夕 クール ね,ニュートラル,False,False,,a くん って 朝 夕 クール ね
9,0,False,0,0,0,B,False,B,Aくんって絶えずクールね,A くん って 絶えず クール ね,ニュートラル,False,False,,a くん って 絶え ず クール ね
10,0,False,0,0,0,B,False,B,Aくんって四六時中クールね,A くん って 四六時中 クール ね,ニュートラル,False,False,,a くん って 四 六 時 中 クール ね
11,0,False,0,0,0,B,False,B,Aくんって変わり無くクールね,A くん って 変わり無く クール ね,ニュートラル,False,False,,a くん って 変わり 無く クール ね
12,0,False,0,0,0,B,False,B,Aくんって何時でもクールね,A くん って 何時でも クール ね,ニュートラル,False,False,,a くん って 何時 でも クール ね
13,0,False,0,0,0,B,False,B,Aくんって日夕クールね,A くん って 日夕 クール ね,ニュートラル,False,False,,a くん って 日 夕 クール ね
14,0,False,0,0,0,B,False,B,Aくんって決ってクールね,A くん って 決って クール ね,ニュートラル,False,False,,a くん って 決 って クール ね
15,0,False,0,0,0,B,False,B,Aくんって決まってクールね,A くん って 決まって クール ね,ニュートラル,False,False,,a くん って 決まって クール ね
16,0,False,0,0,0,B,False,B,Aくんってきまってクールね,A くん って きまって クール ね,ニュートラル,False,False,,a くん って き まって クール ね
17,0,False,0,0,0,B,False,B,Aくんっていつでもクールね,A くん って いつでも クール ね,ニュートラル,False,False,,a くん って いつでも クール ね
18,0,False,0,0,0,B,False,B,Aくんって何時もクールね,A くん って 何時も クール ね,ニュートラル,False,False,,a くん って何 時も クール ね
19,0,False,0,0,0,B,False,B,Aくんって総じてクールね,A くん って 総じて クール ね,ニュートラル,False,False,,a くん って 総じて クール ね
20,0,False,0,0,0,B,False,B,Aくんって通例クールね,A くん って 通例 クール ね,ニュートラル,False,False,,a くん って 通 例 クール ね
21,0,False,0,0,0,B,False,B,Aくんって通常クールね,A くん って 通常 クール ね,ニュートラル,False,False,,a くん って 通常 クール ね
22,0,False,0,0,0,B,False,B,Aくんってふつうクールね,A くん って ふつう クール ね,ニュートラル,False,False,,a くん って ふつう クール ね
23,0,False,0,0,0,B,False,B,Aくんって普通クールね,A くん って 普通 クール ね,ニュートラル,False,False,,a くん って 普通 クール ね
24,0,False,0,0,0,B,False,B,Aくんってたえずクールね,A くん って たえず クール ね,ニュートラル,False,False,,a くん ってた え ず クール ね
25,0,False,0,0,0,B,False,B,Aくんって明暮クールね,A くん って 明暮 クール ね,ニュートラル,False,False,,a くん って 明 暮 クール ね
26,0,False,0,0,0,B,False,B,Aくんって極まってクールね,A くん って 極まって クール ね,ニュートラル,False,False,,a くん って 極 まって クール ね
27,0,False,0,0,0,B,False,B,Aくんってつねづねクールね,A くん って つねづね クール ね,ニュートラル,False,False,,a くん って つ ね づ ね クール ね
28,0,False,0,0,0,B,False,B,Aくんって常々クールね,A くん って 常々 クール ね,ニュートラル,False,False,,a くん って 常 々 クール ね
29,0,False,0,0,0,B,False,B,Aくんって始終クールね,A くん って 始終 クール ね,ニュートラル,False,False,,a くん って 始 終 クール ね
30,0,False,0,0,0,B,False,B,Aくんって明け暮れクールね,A くん って 明け暮れ クール ね,ニュートラル,False,False,,a くん って 明け 暮れ クール ね
31,0,False,0,0,0,B,False,B,Aくんって年中クールね,A くん って 年中 クール ね,ニュートラル,False,False,,a くん って 年中 クール ね
32,0,False,0,0,0,B,False,B,Aくんって一定クールね,A くん って 一定 クール ね,ニュートラル,False,False,,a くん って 一定 クール ね
33,0,False,0,0,0,B,False,B,Aくんってしょっちゅうクールね,A くん って しょっちゅう クール ね,ニュートラル,False,False,,a くん って しょっちゅう クール ね
34,0,False,0,0,0,B,False,B,Aくんって年百年中クールね,A くん って 年百年中 クール ね,ニュートラル,False,False,,a くん って 年 百 年中 クール ね
35,0,False,0,0,0,B,False,B,Aくんって毎々クールね,A くん って 毎々 クール ね,ニュートラル,False,False,,a くん って 毎 々 クール ね
36,0,False,0,0,0,B,False,B,Aくんって止処無くクールね,A くん って 止処無く クール ね,ニュートラル,False,False,,a くん って 止 処 無く クール ね
37,0,False,0,0,0,B,False,B,Aくんって常住クールね,A くん って 常住 クール ね,ニュートラル,False,False,,a くん って 常 住 クール ね
38,0,False,0,0,0,B,False,B,Aくんって末始終クールね,A くん って 末始終 クール ね,ニュートラル,False,False,,a くん って 末 始 終 クール ね
39,0,False,0,0,0,B,False,B,Aくんって常クールね,A くん って 常 クール ね,ニュートラル,False,False,,a くん って 常 クール ね
40,0,False,0,0,0,B,False,B,Aくんっていつも涼やかね,A くん って いつも 涼やか ね,ニュートラル,False,False,,a くん って いつも 涼 や かね
41,0,False,0,0,0,B,False,B,Aくんっていつも爽涼ね,A くん って いつも 爽涼 ね,ニュートラル,False,False,,a くん って いつも 爽 涼 ね
42,0,False,0,0,0,B,False,B,Aくんって頻りにクールね,A くん って 頻りに クール ね,ニュートラル,False,False,,a くん って 頻 り に クール ね
43,0,False,0,0,0,B,False,B,Aくんっていつも冷たいね,A くん って いつも 冷たい ね,ニュートラル,False,False,,a くん って いつも 冷たい ね
44,0,False,0,0,0,B,False,B,Aくんっていつも涼しいね,A くん って いつも 涼しい ね,ニュートラル,False,False,,a くん って いつも 涼しい ね
45,0,False,0,0,0,B,False,B,Aくんっていつも冷やりとしたね,A くん って いつも 冷やりとした ね,ニュートラル,False,False,,a くん って いつも 冷や り とした ね
46,0,False,0,0,0,B,False,B,Aくんっていつも冷やかね,A くん って いつも 冷やか ね,ニュートラル,False,False,,a くん って いつも 冷や かね
47,0,False,0,0,0,B,False,B,Aくんっていつも清涼ね,A くん って いつも 清涼 ね,ニュートラル,False,False,,a くん って いつも 清 涼 ね
48,0,False,0,0,0,B,False,B,Aくんっていつも冷やこいね,A くん って いつも 冷やこい ね,ニュートラル,False,False,,a くん って いつも 冷や こい ね
49,0,False,0,0,0,B,False,B,Aくんっていつも冷淡ね,A くん って いつも 冷淡 ね,ニュートラル,False,False,,a くん って いつも 冷 淡 ね
50,0,False,0,0,0,B,False,B,Aくんっていつも冷こいね,A くん って いつも 冷こい ね,ニュートラル,False,False,,a くん って いつも 冷 こい ね
51,0,False,0,0,0,B,False,B,Aくんってたいていクールね,A くん って たいてい クール ね,ニュートラル,False,False,,a くん って たい てい クール ね
52,0,False,0,0,0,B,False,B,Aくんって止処なくクールね,A くん って 止処なく クール ね,ニュートラル,False,False,,a くん って 止 処 なく クール ね
53,0,False,0,0,0,B,False,B,Aくんってとめどなくクールね,A くん って とめどなく クール ね,ニュートラル,False,False,,a くん って と め ど なく クール ね
54,0,False,0,0,0,B,False,B,Aくんって極ってクールね,A くん って 極って クール ね,ニュートラル,False,False,,a くん って 極 って クール ね
55,0,False,0,0,0,B,False,B,Aくんって変わりなくクールね,A くん って 変わりなく クール ね,ニュートラル,False,False,,a くん って 変わり なく クール ね
56,0,False,0,0,0,B,False,B,Aくんって年がら年中クールね,A くん って 年がら年中 クール ね,ニュートラル,False,False,,a くん って 年 が ら 年中 クール ね
57,0,False,0,0,0,B,False,B,Aくんって常住坐臥クールね,A くん って 常住坐臥 クール ね,ニュートラル,False,False,,a くん って 常 住 坐臥 クール ね
58,0,False,0,0,0,B,False,B,Aくんって止め処無くクールね,A くん って 止め処無く クール ね,ニュートラル,False,False,,a くん って 止め 処 無く クール ね
59,0,False,0,0,0,B,False,B,Aくんって続続クールね,A くん って 続続 クール ね,ニュートラル,False,False,,a くん って 続 続 クール ね
60,0,False,0,0,0,B,False,B,Aくんってのべつクールね,A くん って のべつ クール ね,ニュートラル,False,False,,a くん って の べ つ クール ね
61,0,False,0,0,0,B,False,B,Aくんってのべつ幕なしクールね,A くん って のべつ幕なし クール ね,ニュートラル,False,False,,a くん って の べ つ 幕 なし クール ね
62,0,False,0,0,0,B,False,B,Aくんって留め処なくクールね,A くん って 留め処なく クール ね,ニュートラル,False,False,,a くん って 留め 処 なく クール ね
63,0,False,0,0,0,B,False,B,Aくんって止め処なくクールね,A くん って 止め処なく クール ね,ニュートラル,False,False,,a くん って 止め 処 なく クール ね
64,0,False,0,0,0,B,False,B,Aくんってのべつ幕無しクールね,A くん って のべつ幕無し クール ね,ニュートラル,False,False,,a くん って の べ つ 幕 無し クール ね
65,0,False,0,0,0,B,False,B,Aくんって留め処無くクールね,A くん って 留め処無く クール ね,ニュートラル,False,False,,a くん って 留め 処 無く クール ね
66,0,False,0,0,0,B,False,B,Aくんって絶え間なくクールね,A くん って 絶え間なく クール ね,ニュートラル,False,False,,a くん って 絶え 間 なく クール ね
